Domain,#Quads of Subset,#Entities of class,Properties and Density
hanhtinhxanhvn.com,3863,84,{'name': 1.0}
egopowerplus.co.uk,5638,254,{'name': 1.0}
otterestates.co.za,249,9,{'name': 1.0}
brasseriezedel.com,1839,18,{'name': 1.0}
nextdoorrealty.co.za,84,3,{'name': 1.0}
dreamrunnerconsulting.com,1787,32,{'name': 1.0}
ercishaberleri.com.tr,1123,16,{'name': 1.0}
seaportre.com,10709,3,{'name': 1.0}
pramollo.to.it,145,5,{'name': 1.0}
deltaexpressinc.com,1797,24,{'address': 1.0}
egopowerplus.fr,2779,126,{'name': 1.0}
bissell.pl,3618,157,{'name': 1.0}
propmove.co.za,303,10,{'name': 1.0}
topviewtix.com,3575,106,{'name': 1.0}
mimea.co.uk,362,4,{'name': 1.0}
xn--sanlurfa-wkb.com,650,18,{'name': 1.0}
xn----7sbbbbcufeyfrbcp1as6c8a8g9a.xn--p1ai,72,2,{'name': 1.0}
ontariopropertybuyers.com,2834,12,{'containsPlace': 1.0}
franklinplumbingsc.com,2753,13,{'geo': 1.0}
erectorsinc.com,785,48,{'name': 1.0}
transbus.org,6662,149,{'name': 1.0}
buki-kz.com,74650,119,{'geo': 1.0}
chuyentactical.com,14034,52,{}
hallux-doc.de,280,14,{'name': 1.0}
bearrootz.com,4837,22,{'name': 1.0}
johnspizzaandchicken.com.au,194,2,{'name': 1.0}
mccutchenlawfirm.com,4130,280,{'name': 1.0}
timeout.fr,653,29,{'name': 1.0}
fain.es,460,5,{'name': 1.0}
liamar.com,5522,135,{'name': 1.0}
pergolasgoldcoast.com,940,7,{'name': 1.0}
leolandscapestudio.ca,71,5,{'name': 1.0}
shw-law.com,22348,3256,{'name': 1.0}
sovereignproperty.co.za,470,16,{'name': 1.0}
vaciadodepisosmadrid.es,1392,17,{'name': 1.0}
dungcuvang.com,68869,213,{}
exclusivehosting.net,1887,30,{'name': 1.0}
maytaomuithom.vn,6476,173,{'name': 1.0}
pmu.ac.at,832,28,{'name': 1.0}
portes-baratos-madrid.es,5893,66,{'name': 1.0}
servinform.es,4263,60,{'name': 1.0}
smartsmiledentistry.com,67126,27,{'name': 1.0}
bacoli.na.it,2204,43,{'name': 1.0}
cybernetny.com,740,18,{'name': 1.0}
nelc.es,117,1,{'name': 1.0}
bissell.it,4397,226,{'name': 1.0}
tramshedtech.co.uk,719,25,{'address': 1.0}
doubtmanagement.com,1477,12,{'name': 1.0}
remly.app,6065,105,{'name': 1.0}
candaiquang.com,2501,61,{'name': 1.0}
compro.by,2883,60,{'name': 1.0}
freightaudit.com,185,2,{'name': 1.0}
maser.tv.it,58,2,{'name': 1.0}
trippois.com,13852,318,{'name': 1.0}
avgizempinar.com.tr,115641,432,{'name': 1.0}
hedgehog-agency.com,1374,24,{'address': 1.0}
kalkulator-leasingowy.pl,966,14,{'name': 1.0}
xn-----7kcabglkgaezkrfcife0agrbi7b5a6h2f5c.xn--p1ai,103,6,{'name': 1.0}
jopuka.com,48580,963,{'name': 1.0}
vado-ligure.sv.it,427,19,{'name': 1.0}
dominionenergy.com,604,4,{'name': 1.0}
agencedesducs03.com,377,9,{'name': 1.0}
blackdiamondsdetailing.com,138,1,{'name': 1.0}
haberra.com,1293,36,{'name': 1.0}
chowari.jp,5604,92,{'name': 1.0}
transamer.com,3138,10,{'name': 1.0}
unisoft-technologies.com,4215,22,{'name': 1.0}
police-uk.org,59953,8951,{'name': 1.0}
battelle.org,915,21,{'name': 1.0}
stgeorgerealestate.com,1185,14,{'name': 1.0}
turkiyehaberajansi.com,1454,40,{'name': 1.0}
four2one.com.br,279,11,{'name': 1.0}
abogadodivorcioexpress.es,2373,58,{'name': 1.0}
bradford-law.com,2012,162,{'name': 1.0}
valcarcellaw.com,296,2,{'name': 1.0}
inovarimoveis.net,758,11,{'address': 1.0}
212carpet.com,4992,270,{'name': 1.0}
tsawwassenfamilydental.ca,335,6,{'name': 1.0}
kimcovino.com,4433,23,{'geo': 1.0}
mirkofranz.de,10355,95,{'name': 1.0}
electricite-agence.fr,32135,133,{'name': 1.0}
housebuyers.app,58428,268,{'containsPlace': 1.0}
bouze-avocat.com,132,6,{'name': 1.0}
gmbot.net,1232,10,{'name': 1.0}
prontobolletta.it,97010,214,{'name': 1.0}
onlinepilatesclasses.com,562,2,{'name': 1.0}
homesteadcapemay.com,1682,62,{'name': 1.0}
boblarsonplumbing.com,3814,22,{'geo': 1.0}
texastribune.org,1860,56,{}
buchanan.com,4162,224,{'name': 1.0}
reformas-integrales-madrid.net,2437,27,{'name': 1.0}
wilsoninjurylaw.com,10150,528,{'name': 1.0}
redtreetheatre.com,13599,234,{'name': 1.0}
ctseamlessgutters.com,110,1,{'name': 1.0}
dp-promotion.fr,381,9,{'name': 1.0}
swlaprocess.com,355,14,{'name': 1.0}
bramvergouwen.com,1652,12,{'name': 1.0}
mossbollinger.com,66,2,{'name': 1.0}
striptease.com.ua,200,13,{'name': 1.0}
testycdscc.ca,4246,81,{'name': 1.0}
zona-internet.com,80816,145,{'name': 1.0}
lex.style,1062,20,{'name': 1.0}
goudounet.com,1094,9,{'name': 1.0}
sommarivaperno.cn.it,793,27,{'name': 1.0}
kimogilvie.com,1768,17,{'geo': 1.0}
pharmaciecluzel.com,380,8,{'name': 1.0}
orphic.ca,6307,302,{'name': 1.0}
ggled.net,4588,31,{'name': 1.0}
luserna.to.it,3037,104,{'name': 1.0}
caymanneurologist.com,61,1,{'name': 1.0}
ordutakip.com,744,20,{'name': 1.0}
porteseconomicosmadrid.es,4490,60,{'name': 1.0}
artisan67.fr,2129,25,{'name': 1.0}
peinture-laucoin.com,252,6,{'name': 1.0}
entertainmentlawyermiami.com,17131,156,{'name': 1.0}
sacmechanical.com,628,4,{'geo': 1.0}
arona.no.it,198,3,{'name': 1.0}
glowneonstore.com,800,1,{'name': 1.0}
thethreadsandhoney.com,8605,73,{'containsPlace': 1.0}
centra.org,12389,162,{'name': 1.0}
comunefiv.it,479,9,{'name': 1.0}
lonestarivmedics.com,6212,88,{'name': 1.0}
payday-loan-reviews.com,1839,131,{'name': 1.0}
tbk-e.dk,81,1,{'name': 1.0}
kamu3.com,1065,30,{'name': 1.0}
l-realestate.co.za,145,5,{'name': 1.0}
santamariahoe.lc.it,969,19,{'name': 1.0}
kineticoswfl.com,8337,1276,{'name': 1.0}
tunckol.com,35297,132,{'name': 1.0}
bentleyrealestatellc.com,971,8,{'containsPlace': 1.0}
brewespressocoffee.com,3800,20,{'name': 1.0}
ashmorerental.com,800,8,{'geo': 1.0}
100webspace.com,1493,18,{'name': 1.0}
seodanmark.dk,12812,50,{'containsPlace': 1.0}
sorangazete.com,2072,56,{'name': 1.0}
25language.website,10612,76,{'name': 1.0}
thelawpeople.com.au,960,8,{}
selectra.jp,1514,63,{'name': 1.0}
dechtmanwealth.com,203,2,{'name': 1.0}
bmwofgreenwich.com,1251,6,{'name': 1.0}
carhop.com,307,6,{'name': 1.0}
pingan.kz,356,10,{'address': 1.0}
sirvivormark.com,2060,10,{'name': 1.0}
chvsbrand.com,599,12,{'name': 1.0}
anngoade.com,1321,12,{'name': 1.0}
timeout.es,461,20,{'name': 1.0}
sellittobob.com,4925,28,{'containsPlace': 0.9285714285714286}
timeout.cat,750,32,{'name': 1.0}
dillet-agencement.com,264,6,{'name': 1.0}
houses4sale.co.za,180,6,{'name': 1.0}
mosaiquefrance.com,44,2,{'name': 1.0}
skylineattorneyrealtors.co.za,484,17,{'name': 1.0}
caraffadelbianco.rc.it,111,5,{'name': 1.0}
gorillazz.pizza,13181,154,{'name': 1.0}
centrocle.com,2313,198,{'name': 1.0}
a24hourbail.com,91478,565,{'name': 1.0}
hardwaxoils.com,6281,92,{'name': 1.0}
nexco-expertise.com,77794,89,{'name': 1.0}
ericcopper.com,4009,24,{'geo': 1.0}
valeriasweet.com,71,2,{}
gardeon.at,9965,98,{'name': 1.0}
plazahairsalon.com,64777,56,{'address': 1.0}
tourismfm.net,2813,78,{'name': 1.0}
caslinoderba.co.it,51,1,{'name': 1.0}
rossmanplumbing.com,9842,51,{'geo': 1.0}
agencyname.co.za,455,10,{'name': 1.0}
freshairparty.com,38,1,{'geo': 1.0}
xn--ydkreskole-2cb.dk,77,1,{'name': 1.0}
agratebrianza.mb.it,757,34,{'name': 1.0}
egopowerplus.fi,3710,168,{'name': 1.0}
treefellingcenturion-gauteng.co.za,10029,15,{'name': 1.0}
maplehousehomeinvestors.com,10022,56,{'containsPlace': 1.0}
anphaland.vn,1273,29,{'name': 1.0}
sellyourmobilehomefast.com,27033,41,{'containsPlace': 1.0}
acepelizon.com,17591,91,{'name': 1.0}
acesw.com.au,3494,592,{'name': 1.0}
chelseaorthodontics.com,102,1,{'name': 1.0}
bagnatica.bg.it,461,9,{'name': 1.0}
postgradaustralia.com.au,39,1,{'name': 1.0}
kulinar-63.ru,225,9,{'name': 1.0}
topangacommunitycenter.org,102,6,{'name': 1.0}
becoasset.com,990,18,{'geo': 1.0}
dianodalba.cn.it,117,4,{'name': 1.0}
loiriportosanpaolo.ss.it,222,10,{'name': 1.0}
diamondautoglassflagstaff.com,5621,27,{'geo': 1.0}
carlsair.com,6611,20,{'geo': 1.0}
sanfront.cn.it,233,8,{'name': 1.0}
karsisav.com,850,24,{'name': 1.0}
americanphc.com,3819,30,{'geo': 1.0}
irthaber.com,143,4,{'name': 1.0}
itmagination.com,580,22,{'name': 1.0}
comune.enna.it,1183,15,{'name': 1.0}
anversadegliabruzzi.aq.it,157,3,{'name': 1.0}
computercare.co.uk,2909,46,{'name': 1.0}
werkbot.com,106,2,{'name': 1.0}
strip.ua,1068,70,{'name': 1.0}
floorvarnishes.co.uk,992,16,{'name': 1.0}
steadyflowdrainco.com,4676,25,{'geo': 1.0}
ampsalbris-41.com,44,1,{'name': 1.0}
ainspire.ai,739,6,{'name': 1.0}
goldstarplumbingaz.com,1861,15,{'geo': 1.0}
khanuotvina.vn,518,12,{'name': 1.0}
sellquickcalifornia.com,267402,89,{'containsPlace': 1.0}
egopowerplus.ie,946,42,{'name': 1.0}
filarmonia.com.ua,1900,26,{'address': 1.0}
paseosenbarcaalbufera.net,1248,12,{'name': 1.0}
royal-cleaning.co.uk,1647,16,{'name': 1.0}
charliespizzeria.com.au,134,13,{'name': 1.0}
gazetenizolsun.com,71,2,{'name': 1.0}
jafcocompany.com,2994,15,{'geo': 1.0}
sterlingheightstowingservices.com,1026,5,{'name': 1.0}
castiglionedisicilia.ct.it,132,6,{'name': 1.0}
gkbm.com,79341,12098,{'name': 1.0}
radware.com,578,37,{'name': 1.0}
castelleone.cr.it,771,15,{'name': 1.0}
brockmaninjurylawyer.com,433,26,{'name': 1.0}
bullseyepromotions.com,657,6,{'containsPlace': 1.0}
amarilloair.com,10867,48,{'geo': 1.0}
marene.cn.it,116,4,{'name': 1.0}
solarstone.com,189,2,{'name': 1.0}
young-lawgroup.com,172,2,{'name': 1.0}
solarpanelscentralcoast.com,1297,16,{'name': 1.0}
sennariolo.or.it,668,23,{'name': 1.0}
dr-diener.ch,1018,44,{'Name': 1.0}
plumbers-of-abu-dhabi.com,162,2,{'name': 1.0}
avrupamedya.at,3569,102,{'name': 1.0}
gatherall.net,1235,9,{'geo': 1.0}
kingdomempowered.org,1049,20,{'name': 1.0}
foianodivalfortore.bn.it,198,9,{'name': 1.0}
cappellamaggiore.tv.it,667,13,{'name': 1.0}
elginvw.com,507,3,{'name': 1.0}
maseyspizza.com,107,4,{'name': 1.0}
aboveallheatingandair.com,5774,23,{'geo': 1.0}
betterthink.in,22,2,{'name': 1.0}
coastalcomfortac.com,1359,19,{'name': 1.0}
ragette.com,100936,47,{'name': 1.0}
canyonstateroofs.com,4408,18,{'name': 1.0}
gorgonzola.mi.it,574,27,{'name': 1.0}
tilemarbleofpalmbeach.com,376,4,{'name': 1.0}
serenityvilla.co.za,403,8,{'name': 1.0}
hapusa.com,184,3,{'name': 1.0}
salaryband.com,667,41,{'name': 1.0}
arzignano.vi.it,261,9,{'name': 1.0}
luz-gas.es,8213,21,{'name': 1.0}
egopowerplus.at,1320,60,{'name': 1.0}
gyvelgaard.com,89,1,{'name': 1.0}
treefellingpmb.co.za,1719,3,{'name': 1.0}
ugatl.com,418,4,{'name': 1.0}
ajans27.net,212,6,{'name': 1.0}
egopowerplus.it,1832,82,{'name': 1.0}
uruma-portal.okinawa,2016,18,{}
adapttechteam.com,3409,20,{'name': 1.0}
jillfusari.com,2674,27,{'geo': 1.0}
curinga.cz.it,177,8,{'name': 1.0}
iowamobilehomebuyer.com,1744,3,{'containsPlace': 1.0}
grotte-dargilan-48.com,713,28,{'name': 1.0}
thegalleriahairsalon.com,294,10,{'name': 1.0}
gocekgazete.com,680,18,{'name': 1.0}
diabetesfoodhub.org,526,20,{'address': 1.0}
callkellycall4.com,2213,14,{'geo': 1.0}
portoviro.ro.it,410,8,{'name': 1.0}
how-to-brew.coffee,2882,30,{'name': 1.0}
animalsbeware.com,450,15,{'name': 1.0}
borghettosantospirito.sv.it,512,24,{'name': 1.0}
ecofloristix.co.za,1762,84,{'name': 1.0}
champagneharlin.fr,210,7,{'name': 1.0}
orkin.com,37246,111,{'geo': 1.0}
lawforseniors.org,2851,21,{'name': 1.0}
radiantsmiles.com.au,2324,28,{'containsPlace': 1.0}
pattiflora.it,105,18,{'name': 1.0}
sarteano.si.it,308,14,{'name': 1.0}
foundationscounselingllc.com,40635,74,{'name': 1.0}
bunioninstitute.com,107,1,{'name': 1.0}
easymix-concrete.co.uk,6143,29,{'name': 1.0}
vegalo.com,195,7,{'name': 1.0}
holmaninfiniti.com,844,5,{'name': 1.0}
yourbellplumbing.com,4473,18,{'geo': 1.0}
soffitfasciacontractors.com,15434,24,{'containsPlace': 1.0}
jackmanfuels.com,324,8,{'name': 1.0}
charpente-couverture-sarthoise.com,421,12,{'name': 1.0}
hallerlaw.ca,2730,24,{'name': 1.0}
justcallaloha.com,5452,22,{'geo': 1.0}
okojiewellness.com,841,29,{'name': 1.0}
alltechinsulationandsprayfoam.com,382,2,{'name': 1.0}
martellago.ve.it,261,9,{'name': 1.0}
laura-photographie.fr,269,2,{'name': 1.0}
posta70.com,922,26,{'name': 1.0}
palazzago.bg.it,307,6,{'name': 1.0}
adulteguide.com,11201,69,{'name': 1.0}
boesenlaw.com,165,2,{'name': 1.0}
bartinhalkgazetesi.com.tr,1088,30,{'name': 1.0}
gramdhani.com,42,2,{'name': 1.0}
calco.lc.it,51,1,{'name': 1.0}
clearlinesewerrepair.com,6449,21,{'geo': 1.0}
santavittoriadalba.cn.it,1403,48,{'name': 1.0}
namchamvina.com,5897,34,{'name': 1.0}
calnevadatowing.com,1519,17,{'name': 1.0}
philsellsbiz.com,5387,21,{'name': 1.0}
sundancedisposal.com,1150,33,{'name': 1.0}
ilke25.com,3520,88,{'name': 1.0}
conity.fr,16539,9,{'name': 1.0}
waynealarm.com,9980,52,{'name': 1.0}
jeddahclean.com,784,42,{'name': 1.0}
roundgroveproducts.com,6215,56,{'address': 1.0}
josephflach.co.uk,249,4,{'name': 1.0}
funinflates.com,2598,51,{'name': 1.0}
findlaw.com,7141,42,{'name': 1.0}
stuartcantorphotography.com,641,44,{'name': 1.0}
adriaticaire.com,6698,23,{'geo': 1.0}
orlandohealth.com,393,14,{'name': 1.0}
fullmoodpsicologos.com,1912,23,{'name': 1.0}
bissell.fr,8551,298,{'name': 1.0}
mudanzasmaiorica.com,366,5,{'name': 1.0}
capeandcountry.co.za,233,8,{'name': 1.0}
khassrialaw.ca,271,8,{'name': 1.0}
mikehowardlaw.com,117,1,{'name': 1.0}
theduber.club,6204,89,{'geo': 1.0}
kayserisondakika.com.tr,1278,32,{'name': 1.0}
linprop.co.za,354,12,{'name': 1.0}
atelierbiwer.com,200,5,{'name': 1.0}
egopowerplus.eu,889,40,{'name': 1.0}
villaditirano.so.it,463,9,{'name': 1.0}
porschenortholmsted.com,3243,13,{'name': 1.0}
srllp.com,3800,572,{'name': 1.0}
vitolilandscapedesign.com,1948,15,{'name': 1.0}
akbabahaber.com.tr,1252,36,{'name': 1.0}
sanvendemiano.tv.it,146,5,{'name': 1.0}
internetplanos.com.br,4258,19,{'name': 1.0}
partnersinprop.com,293,9,{'name': 1.0}
timeout.pt,446,20,{'name': 1.0}
srub-otdelka.ru,1204,8,{'name': 1.0}
driveclassictoyota.com,672,4,{'name': 1.0}
haberaktivite.net,562,16,{'name': 1.0}
caylauhuyphong.com,37,1,{'name': 1.0}
vcat.vic.gov.au,200,8,{'name': 1.0}
angliahouseclearance.com,755,48,{'name': 1.0}
eziplumbing.com.au,18150,43,{'name': 1.0}
sondakkahaber.net,6083,172,{'name': 1.0}
xn-----6kcchlhalslcie2aedopd1arigi0ap0v4a.xn--p1ai,298,8,{'name': 1.0}
scop.coop,25,1,{'address': 1.0}
theultracomputer.com,5359,47,{'name': 1.0}
alpharealty.org.za,161,5,{'name': 1.0}
assuranceguilleminjacquet.com,277,7,{'name': 1.0}
rawgeouspetfood.com,1834,37,{}
cottoninc.com,94,1,{'geo': 1.0}
bissell.nl,4254,211,{'name': 1.0}
bluebarnhomesmn.com,2310,12,{'containsPlace': 1.0}
seriate.bg.it,927,18,{'name': 1.0}
singlesover60.net,331,33,{'name': 1.0}
marioswheelrepair.co.uk,651,136,{'name': 1.0}
webprinter.co.za,2901,20,{'name': 1.0}
plumbingjoint.com,4325,45,{'name': 1.0}
santangelodipiovedisacco.pd.it,87,3,{'name': 1.0}
pizzaoverload.com.au,173,25,{'name': 1.0}
solarpanelshobart.com,1972,22,{'name': 1.0}
elchicodelafurgoneta.com,223,3,{'name': 1.0}
interactiva-spanisch-stuttgart.de,74,2,{}
sell2orbit.com,2521,12,{'containsPlace': 1.0}
neon-lights.org,545,80,{'name': 1.0}
theadamslawfirm.com,7494,360,{'name': 1.0}
drkellsweightloss.com,4242,88,{'name': 1.0}
athensdelphitour.com,1441,10,{'name': 1.0}
xn-----8kcnlqcedsedjdcfd2begiwl8r0a.xn--p1ai,251,6,{'name': 1.0}
alticeusa.com,570,24,{'address': 1.0}
bigballi.com,204,12,{'name': 1.0}
povegliano.tv.it,174,6,{'name': 1.0}
theblessedmom.com,307,2,{'name': 1.0}
tnb.com.tw,38,5,{'name': 1.0}
amigo.bg,28343,263,{'address': 1.0}
lafermesaintjacques.com,223,5,{'name': 1.0}
repairprice.co.uk,877,13,{'name': 1.0}
rockwater.plumbing,7283,29,{'geo': 1.0}
rtibusinessconsulting.com,3024,26,{'name': 1.0}
fiumalbo.mo.it,203,7,{'name': 1.0}
greve-in-chianti.fi.it,4392,100,{'name': 1.0}
haberpars.com,2672,66,{'name': 1.0}
furnitureku.com,302,12,{'name': 1.0}
grandchampackaging.com,21249,104,{'name': 1.0}
amethyste86.com,432,9,{'name': 1.0}
hqproperties.co.za,550,20,{'name': 1.0}
jnrplumbing.com,19729,102,{'geo': 1.0}
1stchoiceplumbingheatingandairconditioning.com,10166,39,{'geo': 1.0}
veneerscolombia.com,114,1,{'name': 1.0}
unotechengineering.com,147,3,{'name': 1.0}
lawofficespjr.com,6525,68,{'name': 1.0}
sewerstuds.com,7818,46,{'geo': 1.0}
eumeds.com,2208,44,{'name': 1.0}
libertycruise.nyc,1172,35,{'name': 1.0}
successbusinesscoach.ca,406,3,{'name': 1.0}
hawkfeather.com,2286,28,{'name': 1.0}
maisons-prim-access.fr,693,17,{'address': 1.0}
americaneagle.com,3620,20,{'containsPlace': 1.0}
villaincampsbay.com,159,6,{'name': 1.0}
adp.com,454,18,{'name': 1.0}
zieglercarpetcleaning.com,439,28,{'name': 1.0}
san-casciano-val-di-pesa.fi.it,1982,45,{'name': 1.0}
gonis.gr,114,3,{'name': 1.0}
ostrovskylaw.com,1744,25,{'name': 1.0}
commerci.co.za,336,12,{'name': 1.0}
rewindthehandsoftime.com,3466,16,{'geo': 1.0}
mullertn.com,463,9,{'address': 1.0}
salonlerome.ru,175,7,{'name': 1.0}
pbhs.com,9920,34,{'geo': 1.0}
bisonpharmacy.com,1048,53,{'name': 1.0}
dumpsterrentalsdepot.com,574,33,{'name': 1.0}
timelesstattoo.no,1727,34,{'name': 1.0}
signsfastinc.com,276,3,{'name': 1.0}
dvidaclinic.net,5594,33,{'name': 1.0}
mazzo.so.it,825,16,{'name': 1.0}
vigone.to.it,1147,39,{'name': 1.0}
mticket.de,6197,29,{'address': 1.0}
ozgurhalkinsesi.com.tr,3968,106,{'name': 1.0}
texaslegalgroup.com,760,13,{'name': 0.8461538461538461}
montecreto.mo.it,87,3,{'name': 1.0}
levinefamilylaw.com,3408,32,{'name': 1.0}
surmansethaber.net,70,2,{'name': 1.0}
copiano.pv.it,307,6,{'name': 1.0}
flexsalary.com,345,5,{'name': 1.0}
uipkesvloeren.nl,125,1,{'name': 1.0}
advancefamilydental.com.au,360,8,{'name': 1.0}
homeairplus.com,5545,31,{'geo': 1.0}
njmedicallawyer.com,681,5,{'name': 1.0}
abogadomarcelosaenz.com,1216,38,{'name': 1.0}
veroli.fr.it,203,7,{'name': 1.0}
axaagipinaceyralechartre.com,74,2,{'name': 1.0}
kryztal.io,5128,34,{'name': 1.0}
motusselect.co.za,285,14,{'name': 1.0}
bissell.de,3775,176,{'name': 1.0}
digitas.com,42,2,{'address': 1.0}
figline-incisa-valdarno.fi.it,461,9,{'name': 1.0}
nuoptima.com,268,3,{'name': 1.0}
mticket.uk,563,5,{'address': 1.0}
marneprop.co.za,130,5,{'name': 1.0}
moldsci.com,37703,8,{'name': 1.0}
skyhawktowing.com,312,4,{'name': 1.0}
kredit24.de,928,14,{'name': 1.0}
carolinapropwash.com,48,2,{'name': 1.0}
cocconato.at.it,145,5,{'name': 1.0}
schiavon.vi.it,29,1,{'name': 1.0}
getmadpro.com,1692,108,{'name': 1.0}
sitesuite.com.au,152,4,{'name': 1.0}
dee.ie,516,4,{'name': 1.0}
matkinhshady.com,134,1,{}
carpegna.pu.it,611,21,{'name': 1.0}
villafrancapiemonte.to.it,58,2,{'name': 1.0}
nimbusportals.com,10421,96,{}
homevisorscollective.com,9354,23,{'containsPlace': 1.0}
alliance-enviro.com,101,1,{'name': 1.0}
wesfed.com,2468,17,{'containsPlace': 1.0}
introrealestate.co.za,441,15,{'name': 1.0}
mc3mfg.com,4135,56,{'name': 1.0}
cardon.us,3145,58,{'address': 1.0}
trustmtrans.com,3051,6,{'name': 1.0}
verzino.kr.it,133,6,{'name': 1.0}
bellasicilia.com.au,241,16,{'name': 1.0}
frosolone.is.it,220,10,{'name': 1.0}
gibsonhillpc.com,4152,494,{'name': 1.0}
xentrixus.com,62,1,{'name': 1.0}
bminsulation.com,560,3,{'name': 1.0}
ageless-smiles.com.au,2458,25,{'containsPlace': 1.0}
deckinggoldcoast.com,890,8,{'name': 1.0}
nordlt.dk,97,1,{'name': 1.0}
stripingphoenix.com,1048,5,{'geo': 1.0}
miguelrodriguez.top,245,1,{'name': 1.0}
codogno.lo.it,51,1,{'name': 1.0}
qldwaterproofers.com.au,1020,9,{'geo': 1.0}
ahaan-thai.de,225,15,{'name': 1.0}
jhsoutdoorliving.com,877,8,{'name': 1.0}
xn-----7kcabfcokhktwdtjdzaeqbz5a9i9g.xn--p1ai,71,2,{'name': 1.0}
fbrlaw.com,1320,48,{'name': 1.0}
risinganchortherapy.com,25,1,{'name': 1.0}
cleanfloseweranddrain.com,7264,37,{'geo': 1.0}
azfamilyplumbing.com,2737,15,{'geo': 1.0}
aaanchorbolt.com,1139,7,{'geo': 1.0}
alcohvac.com,5028,18,{'geo': 1.0}
quiinzona.it,269,5,{'name': 1.0}
kemsigns.com.au,4119,24,{'name': 1.0}
316roofingtx.com,331,3,{'name': 1.0}
allaboutnewtown.wales,262,7,{'name': 1.0}
juliaguerin.fr,36,1,{'name': 1.0}
polarmeds.com,2756,62,{'name': 1.0}
timeoutmexico.mx,1022,42,{'name': 1.0}
footankleinstitute.com,3349,12,{'name': 1.0}
haberant.com,67,2,{'name': 1.0}
newdoor.co.za,483,17,{'name': 1.0}
alpinelawgroup.com,200,14,{'address': 1.0}
arcticmeds.com,1429,47,{'name': 1.0}
barbrothersevents.co.uk,1033,9,{'name': 1.0}
vevey.ch,559,15,{'name': 1.0}
cityofquartz.net,582,8,{'address': 1.0}
montopoli.pi.it,58,2,{'name': 1.0}
senago.mi.it,149,7,{'name': 1.0}
bienchidotacos.com,558,6,{'name': 1.0}
lainate.mi.it,149,7,{'name': 1.0}
iolabs.ch,114,3,{'name': 1.0}
pollein.ao.it,88,4,{'name': 1.0}
torricelladelpizzo.cr.it,306,6,{'name': 1.0}
civitellapaganico.gr.it,116,4,{'name': 1.0}
sasgalland.com,126,3,{'name': 1.0}
arocorp.com,1967,12,{'geo': 1.0}
pastaexpresswa.com.au,162,23,{'name': 1.0}
mctlaw.com,1673,6,{'name': 1.0}
jamesjcorbett.com,2583,108,{'name': 1.0}
habermetropol.com,1243,34,{'name': 1.0}
litigationfundingconference.com,238,4,{'address': 1.0}
libertylawngarden.com,18381,22,{'name': 1.0}
lmwslaw.com,73,1,{'areaServed': 1.0}
partner-choszczno.pl,1332,26,{'name': 1.0}
spitalviseu.ro,1708,10,{'name': 1.0}
jbsmoto.com,1176,27,{'name': 1.0}
sangregorionellealpi.bl.it,310,6,{'name': 1.0}
collegeinvest.org,724,13,{'name': 1.0}
timeout.jp,244,10,{'name': 1.0}
nursingcarefinders.com,967,12,{'name': 1.0}
ovindoli.aq.it,265,5,{'name': 1.0}
vietnamoutdoor.com,2046,3,{}
vmgtreecare.com,100,2,{'name': 1.0}
justcoaching.fr,136,15,{'name': 1.0}
kepezhaber.com,861,22,{'name': 1.0}
terra-location-mariage-34.com,284,7,{'name': 1.0}
diyanetsenhaber.com,945,24,{'name': 1.0}
hairobotics.com,86,4,{'name': 1.0}
kmbb.in,390,2,{'name': 1.0}
dampsolving.com,150,1,{'name': 1.0}
ocmcommunications.co.uk,1033,13,{'name': 1.0}
shadowcopynet.com,113,6,{'name': 1.0}
gbankmo.com,162,2,{'name': 1.0}
rogiervanroon.nl,551,5,{'name': 1.0}
xn-------43dndecbbvwpdzjvygkbhfcb2apcovl6g5dsnhbf.xn--p1ai,192,2,{'name': 1.0}
radikal2.com,353,5,{'name': 1.0}
archeosolutions.it,86,10,{'name': 1.0}
ngate.com.au,218,7,{'name': 1.0}
morrisfirmpensacola.com,4602,369,{'name': 1.0}
smokingrevolvergames.com,63,2,{'name': 1.0}
bkgmediation.com,1672,19,{'name': 1.0}
barete.aq.it,106,2,{'name': 1.0}
maisonbareil.fr,648,20,{'name': 1.0}
guttercleaningrockford.top,410,24,{'name': 1.0}
speedyrooter.com,6965,35,{'geo': 1.0}
moneysavingsadvisor.co.uk,496,7,{'name': 1.0}
zestandberry.com,67,1,{'name': 1.0}
handmunderground.com,2404,14,{'geo': 1.0}
cornaredo.mi.it,337,16,{'name': 1.0}
greenbankpizzeria.com.au,157,20,{'name': 1.0}
odental.com.au,98,2,{'name': 1.0}
homecureplumbers.co.uk,748,4,{'name': 1.0}
propertycloud.co.za,533,19,{'name': 1.0}
mmdumpsterrentals.net,1110,7,{}
qualitta.pt,99,4,{'name': 1.0}
adnconstruccion.com,560,4,{'name': 1.0}
cheaptitleloans.com,546,8,{'name': 1.0}
trinita.cn.it,59,2,{'name': 1.0}
pruewatson.com.au,120,5,{'address': 1.0}
serrahondaofallon.com,1906,11,{'name': 1.0}
unitedlens.com,123,3,{'name': 1.0}
singlesover50.co.uk,141,14,{'name': 1.0}
enverahealth.com,552,4,{'name': 1.0}
atticus.com,7155,1200,{'name': 1.0}
trinitymanagementassociates.com,168,1,{'name': 1.0}
monteviale.vi.it,87,3,{'name': 1.0}
harmonybiosciences.com,344,9,{'name': 1.0}
flexpay.in,756,6,{'name': 1.0}
